party,source,bleu,rouge1_f,rouge2_f,rougeL_f,cosine_similarity,reference,candidate
gruene,program,0.0,0.3529,0.125,0.1765,0.7759,"Increased urban greenery and tree coverage, expanded bike and pedestrian pathways, solar panel installations on buildings, de-paved and permeable surfaces, barrier-free street designs.","solar panels, bike lanes, pedestrian pathways, greenery, modern architecture"
gruene,kommunalomat,0.0,0.1212,0.0,0.0606,0.593,"clean and well-maintained school areas, enhanced urban infrastructure, increased greenery and tree planting, improved public hygiene facilities, expanded pedestrian and cycling infrastructure","pedestrian-friendly, green spaces, bike lanes, modern architecture, public transportation"
volt,kommunalomat,0.0,0.08,0.0,0.08,0.4646,"Clean outdoor school areas, Bike parking infrastructure, Safer cycle paths, Public libraries, Solar panel installations.","bike lanes, pedestrian pathways, green spaces, bike racks, architectural diversity"
spd,program,0.0,0.2143,0.0769,0.1429,0.6375,"Affordable housing developments, Modern school buildings, Expanded bike lanes, Barrier-free playgrounds, Green infrastructure expansion.","green infrastructure, pedestrian-friendly spaces, efficient transportation systems, modern architecture, sustainable urban planning"
spd,kommunalomat,0.0,0.08,0.0,0.08,0.5869,"Public Learning Spaces, Safer Cycle Paths, Bike Parking Spaces, Tree-lined Public Spaces, Solar Panel Installations","bicycles, pedestrian-friendly, green spaces, traffic lanes, urban architecture"
bli,kommunalomat,0.0,0.24,0.0,0.16,0.6194,"Bike Infrastructure Expansion, Educational Facility Expansion, Pedestrian Safety Enhancements, Urban Greenery Expansion, Inclusive Public Spaces.","pedestrian-friendly, green spaces, modern architecture, public transportation, community centers"
fdp,program,0.0,0.3448,0.0741,0.2759,0.7709,"Urban Greening and Aesthetic Furniture, Pedestrian-Friendly Zones, Outdoor Seating Areas, City Center Aesthetics, Commercialized Green Spaces","green infrastructure, pedestrian-friendly spaces, mixed-use buildings, sustainable design, urban landscaping"
fdp,kommunalomat,0.0,0.2222,0.0,0.2222,0.6543,"Uniform school interiors, Bike parking infrastructure, Safer pedestrian/cycle paths, Tree-lined public spaces, Solar panel installations","bike lanes, pedestrian-friendly, green spaces, modern architecture, sustainable transportation"
tierschutz,program,0.0,0.3529,0.125,0.2353,0.7846,"Expanded green spaces and greenery, Green roofs and facades, Reduced light pollution, Sustainable public transport infrastructure, Pedestrian-friendly streets with 30 km/h zones.","green roofs, pedestrian-friendly, modern architecture, efficient transportation, urban greenery"
tierschutz,kommunalomat,0.0,0.2727,0.1,0.2727,0.6922,"Public Learning Spaces, Bike Infrastructure, Urban Greenery, Accessibility Features, Clean Public Areas","pedestrian-friendly, green spaces, bike lanes, modern architecture, public transportation"
linke,program,0.0,0.2143,0.0,0.2143,0.6939,"social housing expansion, pedestrian and cycling infrastructure, public space accessibility, green urban spaces, car-free public areas","bike lanes, pedestrian-friendly, green spaces, mixed-use buildings, historical architecture"
linke,kommunalomat,0.0,0.0769,0.0,0.0769,0.6289,"clean public spaces, expanded cycling infrastructure, enhanced public amenities, improved transportation access, inclusive community facilities","bike lanes, pedestrian-friendly, green spaces, mixed-use buildings, traffic regulations"
bvt,program,0.0537,0.2727,0.1,0.2727,0.6694,"green spaces, playground installations, cultural facilities, enhanced street lighting, clean urban areas","public squares, pedestrian-friendly, green spaces, modern architecture, urban transportation"
bvt,kommunalomat,0.0,0.1905,0.0,0.1905,0.6959,"Bike Infrastructure, Public Learning Spaces, Urban Greenery, Public Amenities, Accessibility Features","bike lanes, pedestrian-friendly, green spaces, solar panels, modern architecture"
cdu,program,0.0,0.2609,0.0952,0.1739,0.6706,"Revitalized City Center, Lively Public Squares, Green Infrastructure, Safe Streets, Expanded Green Spaces","pedestrian-friendly, green spaces, historic architecture, modern infrastructure, transportation hubs"
cdu,kommunalomat,0.0,0.0714,0.0,0.0714,0.579,"Clean school exteriors, expanded public libraries, increased bike parking facilities, safer cycle paths with markings, more public shade trees.","bike lanes, pedestrian pathways, greenery, modern architecture, urban planning"
diepartei,program,0.0,0.0,0.0,0.0,0.4859,"Street vendors and food stalls, Neon-lit nightlife, Bike lanes and crowded public transport, Ticket checkpoints and surveillance cameras, Rainbow-colored council uniforms","pedestrian-friendly, vibrant, diverse, efficient, historical"
diepartei,kommunalomat,0.0,0.2143,0.0769,0.2143,0.6943,"Bike Infrastructure Expansion, Public Learning & Recreational Spaces, Green Spaces & Public Amenities, Inclusive Accessibility Features, LGBTQ+ Safe Spaces","bike lanes, pedestrian-friendly, green spaces, mixed-use buildings, historical architecture"
